303	330	213	418	213	418	262	330	262
304	325	213	413	213	413	262	325	262
305	320	215	408	215	408	264	320	264
306	316	222	404	222	404	271	316	271
307	313	232	401	232	401	281	313	281
308	309	242	397	242	397	291	309	291
309	305	248	393	248	393	297	305	297
310	302	252	390	252	390	301	302	301
311	298	258	386	258	386	307	298	307
312	293	265	381	265	381	314	293	314
313	288	272	376	272	376	321	288	321
314	279	281	367	281	367	330	279	330
315	268	294	356	294	356	343	268	343
316	257	310	345	310	345	359	257	359
317	249	327	337	327	337	376	249	376
318	247	340	335	340	335	389	247	389
319	249	351	337	351	337	400	249	400
320	251	362	339	362	339	411	251	411
321	254	369	342	369	342	418	254	418
322	258	370	346	370	346	419	258	419
323	262	364	350	364	350	413	262	413
324	266	355	354	355	354	404	266	404
325	266	351	354	351	354	400	266	400
326	264	352	352	352	352	401	264	401
327	264	352	352	352	352	401	264	401
328	267	350	355	350	355	399	267	399
329	271	348	359	348	359	397	271	397
330	277	344	365	344	365	393	277	393
331	286	335	374	335	374	384	286	384
332	300	320	388	320	388	369	300	369
333	313	305	401	305	401	354	313	354
334	323	297	411	297	411	346	323	346
335	328	299	416	299	416	348	328	348
336	331	306	419	306	419	355	331	355
337	331	313	419	313	419	362	331	362
338	330	319	418	319	418	368	330	368
339	328	326	416	326	416	375	328	375
340	326	332	414	332	414	381	326	381
341	325	334	413	334	413	383	325	383
342	326	335	414	335	414	384	326	384
343	327	338	415	338	415	387	327	387
344	329	341	417	341	417	390	329	390
345	332	342	420	342	420	391	332	391
346	334	338	422	338	422	387	334	387
347	335	331	423	331	423	380	335	380
348	336	325	424	325	424	374	336	374
349	336	320	424	320	424	369	336	369
350	337	315	425	315	425	364	337	364
351	342	308	430	308	430	357	342	357
352	349	301	437	301	437	350	349	350
353	354	298	442	298	442	347	354	347
354	360	297	448	297	448	346	360	346
355	365	295	453	295	453	344	365	344
356	370	288	458	288	458	337	370	337
357	375	277	463	277	463	326	375	326
358	375	268	463	268	463	317	375	317
359	373	263	461	263	461	312	373	312
360	371	259	459	259	459	308	371	308
361	367	257	455	257	455	306	367	306
362	364	256	452	256	452	305	364	305
363	361	258	449	258	449	307	361	307
364	357	260	445	260	445	309	357	309
365	355	259	443	259	443	308	355	308
366	354	258	442	258	442	307	354	307
367	353	261	441	261	441	310	353	310
368	354	264	442	264	442	313	354	313
369	357	265	445	265	445	314	357	314
370	362	263	450	263	450	312	362	312
371	368	258	456	258	456	307	368	307
372	372	255	460	255	460	304	372	304
373	376	251	464	251	464	300	376	300
374	382	245	470	245	470	294	382	294
375	389	237	477	237	477	286	389	286
376	396	228	484	228	484	277	396	277
377	399	220	487	220	487	269	399	269
378	398	211	486	211	486	260	398	260
379	392	202	480	202	480	251	392	251
380	379	195	467	195	467	244	379	244
381	363	190	451	190	451	239	363	239
382	353	188	441	188	441	237	353	237
383	336	190	424	190	424	239	336	239
384	336	190	424	190	424	239	336	239
385	331	196	419	196	419	245	331	245
386	334	197	422	197	422	246	334	246
387	332	195	420	195	420	244	332	244
388	327	189	415	189	415	238	327	238
389	321	182	409	182	409	231	321	231
390	314	180	402	180	402	229	314	229
391	307	184	395	184	395	233	307	233
392	305	193	393	193	393	242	305	242
393	305	201	393	201	393	250	305	250
394	305	206	393	206	393	255	305	255
395	306	212	394	212	394	261	306	261
396	307	221	395	221	395	270	307	270
397	308	231	396	231	396	280	308	280
398	310	238	398	238	398	287	310	287
399	312	243	400	243	400	292	312	292
400	315	251	403	251	403	300	315	300
401	320	262	408	262	408	311	320	311
402	325	272	413	272	413	321	325	321
403	331	276	419	276	419	325	331	325
